question_id,practice_level,topic,difficulty,content_status,math_review_status,issue_types,cleanup_notes,recommended_action
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q01,Beginner,Arithmetic,Medium,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure; question_text: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q06,Beginner,Arithmetic,Medium,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure; control_character,detailed_solution: ambiguous slash or fraction structure; detailed_solution: control character found,"Visible, but solution should receive manual review before premium export."
GEN_CAT_HARDENED_QUANT_15Q_Q08,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_HARDENED_Q07,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_BATCH_Q07,Intermediate,Algebra,Medium-Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_BATCH03_Q08,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure; broken_options_repaired,detailed_solution: ambiguous slash or fraction structure; options: fraction pattern repaired,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q06,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure; broken_options_repaired; control_character,detailed_solution: ambiguous slash or fraction structure; options: fraction pattern repaired; question_text: control character found,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q07,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q08,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q06,Intermediate,Algebra,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure; broken_options_repaired; control_character,detailed_solution: ambiguous slash or fraction structure; options: fraction pattern repaired; question_text: control character found,"Visible, but solution should receive manual review before premium export."
GEN_CAT_HARDENED_QUANT_15Q_Q03,Intermediate,Arithmetic,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure; control_character,detailed_solution: ambiguous slash or fraction structure; detailed_solution: control character found,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q04,Intermediate,Arithmetic,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_BATCH_Q03,Intermediate,Arithmetic,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_BATCH03_Q04,Intermediate,Arithmetic,Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure; question_text: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q05,Intermediate,Arithmetic,Medium-Hard,needs_solution_review,needs_review,ambiguous_slash_or_fraction_structure,detailed_solution: ambiguous slash or fraction structure,"Visible, but solution should receive manual review before premium export."
